City_clean,Country,quality,area_km2,lat,long,country_code,xborder_country,geog_region,urban_incity,UC_NM_SRC,H75_AREAkm2,H90_AREAkm2,H00_AREAkm2,biome_list,elevavg_m,built75_km2,built90_km2,built00_km2,built15_km2,pop75,pop90,pop00,pop15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX
Hamburg,Germany,1,519,53.57410427,9.993622262,DEU,Germany,Europe,Hamburg,GISCO OSM,449,487,495,Temperate Broadleaf and Mixed Forests,18.53557035,254.600174,280.1452332,293.7802429,301.4533691,1422320.299,1482004.427,1569185.053,1596992.451,179.0034032,189.0313066,187.2183541,188.7631773,0.40762353400000001,0.46616931900000003,0.49970659699999997,240.34303299999999,241.898267,37.51570358,519.7570036,353.774677,139.6327969,26.34952966,519.7570036,388.5869452,106.160668,25.00939039,519.7570036,0.98100482099999997,0.63473351,74.87
Cheonan-si,South Korea,1,116,36.83054952,127.1423916,KOR,South Korea,Asia,Cheonan-si,GISCO OSM,16,32,58,Temperate Broadleaf and Mixed Forests,58.87005657,14.60748577,23.92292404,38.60641861,47.84070206,104988.1451,210133.5546,274513.6028,409122.5466,139.1346209,113.8462826,140.6357215,116.9348951,0.43899190399999999,0.425568642,0.41372979599999998,101.9060739,14.370966,0,116.2770399,91.54534597,24.73169389,0,116.2770399,79.809087450000007,36.46795241,0,116.2770399,1.040176099,0.269959376,68.8
Lublin,Poland,1,86,51.23850451,22.56071837,POL,Poland,Europe,Lublin,GISCO OSM,64,73,83,Temperate Broadleaf and Mixed Forests,193.2520675,29.67658997,41.41836548,44.97692871,48.53511429,328451.4842,352724.4161,342528.5951,320313.2263,90.35303962,117.4241521,131.308537,151.5239157,0.377001527,0.48806888300000001,0.50345570299999998,24.423393220000001,61.93650066,0,86.35989387,60.421186919999997,25.93870695,0,86.35989387,63.818709630000001,22.54118425,0,86.35989387,-1.645055637,0.575975814,74.209999999999994
Tokyo,Japan,1,5318,35.68148131,139.649416,JPN,Japan,Asia,Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya; Nerima; Ota; Sagamihara; Edogawa; Adachi; Funabashi; Itabashi; Kawaguchi; Hachiōji; Suginami; Koto; Ichikawa; Katsushika; Machida; Fujisawa; Kashiwa; Shinagawa; Kita; Koshigaya; Tokorozawa; Kawagoe; Nak,GISCO OSM,4444,4932,5210,Temperate Broadleaf and Mixed Forests,38.44552921,2852.811768,3280.33252,3568.17749,3664.912354,22541604.59,27406702.07,29965512.56,33028731.22,126.5576173,119.6908884,119.0761374,110.9613424,0.244299456,0.31768692700000001,0.33272897899999998,168.3834018,3800.526476,1337.429229,5277.372922,884.1907582,3787.750482,634.3978661,5302.641274,1374.3144139999999,3247.272852,684.7518397,5306.339107,0.59413410300000002,0.10400579,31.08
Madrid,Spain,1,781,40.40404665,-3.708166287,ESP,Spain,Europe,Madrid; Móstoles; Fuenlabrada; Leganés; Getafe; Alcorcón; Parla; Torrejón de Ardoz; Alcobendas,GISCO OSM,449,565,689,"Mediterranean Forests, Woodlands, and Scrub",654.6248075,212.2265167,286.8251343,361.7317505,388.3514099,3295915.28,3834683.248,4133153.779,4894294.602,64.39076818,74.79760796,87.51954797,79.34777971,0.13148115699999999,0.28856856400000003,0.29736195599999998,9.5346596000000006E-2,140.8519959,538.1370286,676.0433974,58.865116229999998,673.53112839999994,45.91061311,778.3068577,71.962843120000002,647.9484902,58.39552442,778.3068577,1.242043429,0.023229863,50.28
Valencia,Spain,1,333,39.48043152,-0.407237737,ESP,Spain,Europe,Valencia,GISCO OSM,237,245,300,"Mediterranean Forests, Woodlands, and Scrub",36.63544699,148.7597046,164.9656372,178.5820618,183.6846008,1048086.089,1167814.559,1224885.596,1393120.294,141.9346236,141.2601307,145.7948908,131.8512132,0.25421398699999997,0.32448892099999999,0.29317953600000002,26.59053097,231.8848608,73.58549834,306.1684271,35.987814790000002,259.2418242,36.83125119,332.0608902,23.806196369999999,264.0143069,44.24038693,332.0608902,0.60927262599999998,0.025088956,44.84
Dunedin,New Zealand,1,38,-45.8810598,170.4983027,NZL,New Zealand,Oceania,Dunedin,GISCO OSM,0,0,32,"Temperate Grasslands, Savannas, and Shrublands",73.9893954,11.41641235,11.41641235,12.3541975,12.58994579,57779.13396,60517.92574,65518.83629,70726.40413,197.5871144,188.6451364,188.559477,178.0091318,NAN,0.40103940300000002,0.40145089699999997,0,0,0,0,24.254992850000001,10.48362632,3.273463836,38.01208301,24.994545729999999,7.818970423,5.19856686,38.01208301,0.62770686799999997,0.59226082,66.87
Curitiba,Brazil,1,496,-25.44276336,-49.26146328,BRA,Brazil,Latin America and the Caribbean,Curitiba; Pinhais; Almirante Tamandaré,GISCO OSM,334,435,459,Tropical and Subtropical Moist Broadleaf Forests,920.5393487,224.9066925,288.1441345,314.4727173,333.9602966,1205292.057,1718112.628,2016333.224,2345494.665,186.5993319,167.709689,155.962672,142.3837375,0.40223299200000001,0.39913699200000002,0.38872439800000003,181.9241509,309.8079168,1.7984825,493.5305502,170.06497569999999,323.4655745,0,493.5305502,151.81612770000001,339.91594,1.7984825,493.5305502,0.47406212399999997,0.139234865,32.67
Oslo,Norway,1,242,59.90823209,10.74324845,NOR,Norway,Europe,Oslo,GISCO OSM,128,192,209,Boreal Forests/Taiga,104.5451561,83.21974182,90.92142487,98.83132935,103.5545273,468897.466,551701.6145,621465.406,782172.1349,177.4796152,164.8018104,159.0294945,132.3935265,0.45001047700000002,0.515236531,0.50910179700000002,152.90902629999999,78.80328941,10.92995155,242.6422672,197.90682760000001,36.44743352,8.288006079,242.6422672,190.65339499999999,42.82852185,9.160350401,242.6422672,0.37271484900000001,0.673028141,78.78
Osaka [Kyoto],Japan,1,3158,34.70012803,135.4198332,JPN,Japan,Asia,Osaka; Kobe; Kyoto; Himeji; Higashiosaka; Nishinomiya; Amagasaki; Hirakata; Toyonaka; Suita; Nara; Takatsuki; Akashi; Ibaraki; Yao; Kakogawa; Neyagawa; Itami; Kishiwada; Izumi; Kawanishi; Moriguchi; Minoh; Kashihara; Kadoma; Daito; Matsubara; Ikoma; Tonda,GISCO OSM,2808,3006,3107,Temperate Broadleaf and Mixed Forests,52.24364456,1908.975464,1990.009277,2083.48584,2113.337891,13928631.62,15359857.16,15696264.33,15692797.39,137.0540564,129.5591005,132.7376881,134.6692905,0.26968126799999997,0.29855720299999999,0.31684458199999999,420.89902130000002,1869.860893,858.3270676,3147.417502,704.33574759999999,1770.80223,673.9490036,3149.074115,972.99197449999997,1502.983145,673.1118622,3149.086982,2.8039626869999998,0.111860825,33.08
Phoenix,United States,1,2304,33.47756006,-112.0005369,USA,United States,Northern America,Phoenix; Glendale; Scottsdale; Gilbert; Peoria; Tempe; Surprise; Mesa; Chandler,GISCO OSM,836,1584,1977,Deserts and Xeric Shrublands,384.7548224,955.8568115,1251.363037,1561.336304,1674.677002,1534895.379,2129275.334,2632529.564,3611577.485,622.7504654,587.6943282,593.0935497,463.696822,0.28984612300000001,0.28559763500000002,0.25129205900000001,257.88100900000001,1349.097951,692.4167788,2299.395739,123.54554899999999,1949.492855,226.3573349,2299.395739,56.575104439999997,1687.459497,555.3611378,2299.395739,0.55149007900000002,0.017055302,27.31
Joao Pessoa,Brazil,1,164,-7.145364178,-34.87174461,BRA,Brazil,Latin America and the Caribbean,João Pessoa,GISCO OSM,129,155,161,Tropical and Subtropical Moist Broadleaf Forests,30.83863478,55.34916687,55.34916687,77.85794067,81.86686707,357793.5707,567730.726,715994.9407,929835.5684,154.6958118,97.4919347,108.740909,88.0444563,0.34301973400000002,0.36971045800000002,0.36933707300000002,28.447223529999999,130.6174827,4.032446129,162.142195,53.641994359999998,106.161105,3.294052956,163.0971523,68.378775129999994,89.73097283,4.98740437,163.0971523,0.79340102199999996,0.161338299,50.08
Bedford,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,United States,1,5384,40.77321423,-73.88090455,USA,United States,Northern America,New York; Islip; Newark; Jersey City; Yonkers; Huntington; Paterson; Stamford; Elizabeth; New Brunswick,GISCO OSM,3442,3981,4796,Temperate Broadleaf and Mixed Forests,37.77143017,2894.121582,3196.827393,3508.587402,3678.075928,13029776.26,14939951.17,15597301.32,15950674.29,222.1159844,213.9784365,224.9483632,230.5906234,0.45811764999999999,0.493705226,0.49390461200000002,3204.4856629999999,1750.005658,425.8282976,5375.153291,3417.7741030000002,1596.634718,365.9107972,5380.319619,3281.7745260000002,1608.138165,490.4069279,5380.319619,2.1421661369999998,0.299853443,60.95
Las Cruces,United States,1,40,32.31146516,-106.7696567,USA,United States,Northern America,Las Cruces,GISCO OSM,0,0,0,Deserts and Xeric Shrublands,1205.656703,15.30360985,23.15398407,26.24184799,27.26095009,43196.27264,45909.35117,49709.99104,64074.67851,354.2807958,504.3413484,527.8988679,425.4559012,0.25668217700000001,0.25486577999999999,0.22194424500000001,0,34.33685643,5.60766003,39.94451646,0,35.53646916,4.408047307,39.94451646,0,28.47969439,11.46482208,39.94451646,0.48979604199999999,0.006496867,31.85
Los Angeles,United States,1,5633,33.95381355,-117.9539253,USA,United States,Northern America,Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N,GISCO OSM,4235,4683,5450,"Mediterranean Forests, Woodlands, and Scrub",172.5908688,3633.143799,3989.984863,4497.799316,4632.77002,9154382.648,11426824.88,13183106.7,14281719.8,396.8748018,349.1770378,341.1790119,324.3846039,0.26877891500000001,0.32227207200000002,0.29359740600000001,133.22497039999999,4576.652511,909.0427393,5613.194732,280.84255350000001,4990.026725,348.0509423,5618.920221,179.46079399999999,4658.411324,781.0481025,5618.920221,0.66975928900000004,0.019451497,17.760000000000002
Birmingham,United Kingdom,1,668,52.51213812,-1.965490369,GBR,United Kingdom,Europe,Birmingham; Wolverhampton,GISCO OSM,662,661,662,Temperate Broadleaf and Mixed Forests,140.1305883,429.997406,446.4346008,450.3103638,457.201355,2095745.171,2143543.027,2212131.284,2426862.542,205.1763792,208.2694843,203.5640321,188.3919452,0.39876500100000001,0.45235921899999998,0.471808014,186.81604329999999,472.3594126,9.147532313,668.3229882,369.38549749999999,297.1072685,1.83022225,668.3229882,412.91467560000001,252.3592587,3.049053875,668.3229882,0.19196978200000001,0.466108976,61.81
Montreal,Canada,1,1080,45.53269003,-73.66822949,CAN,Canada,Northern America,Montreal; Laval; Longueuil,GISCO OSM,722,897,994,Temperate Broadleaf and Mixed Forests,31.15470874,555.4830322,645.5691528,709.8900757,774.961853,2310509.803,2643540.02,2829902.434,3105303.603,240.4157868,244.2063097,250.853198,249.5607361,0.40160962,0.42848229700000001,0.45590179199999997,424.73211989999999,574.1439195,81.0583297,1079.934369,480.57512989999998,546.9063489,52.45289033,1079.934369,517.74292190000006,507.28578,54.90566721,1079.934369,1.134720001,0.365492703,47.94
Edmonton,Canada,1,490,53.54200131,-113.4855766,CAN,Canada,Northern America,Edmonton; Sherwood Park; St. Albert,GISCO OSM,234,304,366,"Temperate Grasslands, Savannas, and Shrublands",674.9963773,192.9771423,246.6086578,292.6842651,333.3640442,387667.7509,566377.2039,709470.6294,975000.7097,497.7900326,435.4141659,412.5389452,341.9115913,0.39789709000000001,0.40701299899999999,0.38736098800000002,225.3567639,262.6871195,2.976359063,491.0202425,195.96107409999999,294.4637965,0.595371938,491.0202425,133.12319350000001,343.0840563,14.8129927,491.0202425,0.55494234399999998,0.216441985,31.97
San Jose,Costa Rica,1,431,9.951750245,-84.11429303,CRI,Costa Rica,Latin America and the Caribbean,San José; Alajuela; Heredia,GISCO OSM,181,302,380,Tropical and Subtropical Moist Broadleaf Forests,1128.821016,125.4497986,162.348465,198.861969,211.5464783,976800.2233,1343189.842,1626778.907,1861671.616,128.4293304,120.8678474,122.2427757,113.6325421,0.44340274099999999,0.41552659800000002,0.42115033299999999,306.59859840000001,118.431725,2.936436563,427.96676,217.06290089999999,208.9462347,1.957624375,427.96676,229.54028650000001,195.4899846,2.936488875,427.96676,0.81089876299999997,0.268826142,53.26
Sheffield,United Kingdom,1,247,53.388841,-1.417890387,GBR,United Kingdom,Europe,Sheffield,GISCO OSM,223,225,233,Temperate Broadleaf and Mixed Forests,111.7252524,128.3003693,137.0078735,139.326828,141.7247162,631876.8694,639301.3109,655000.4105,710273.099,203.0464723,214.3087637,212.7125812,199.5355257,0.411058847,0.45138230499999998,0.474504182,110.6709098,131.1089995,5.974723063,247.7546323,153.25071170000001,93.9062984,0.597622188,247.7546323,178.71293589999999,67.8465769,1.1951195,247.7546323,0.32152545100000002,0.503337495,72.349999999999994
Salzburg,Austria,1,46,47.80303436,13.03663574,AUT,Austria,Europe,Salzburg,GISCO OSM,41,41,42,Temperate Broadleaf and Mixed Forests,433.9318993,22.04867554,23.9444313,25.11565018,26.12060928,129814.7881,130750.6406,134710.5571,140052.171,169.8471789,183.1305086,186.4415879,186.5062791,0.42764813000000002,0.49916940999999998,0.48994945499999998,22.88632175,23.5103574,0,46.39667915,31.612221649999999,14.7844575,0,46.39667915,32.284440779999997,14.11223838,0,46.39667915,1.265789415,0.48715679,70.180000000000007
Shanghai,China,1,3318,31.19249624,121.4271278,CHN,China,Asia,Shanghai; Fengxian; Pudong; Baoshan; Changning; Hongkou; Huangpu; Jiading; Jing'an; Qingpu; Putuo; Taicang; Songjiang; Xuhui; Yangpu; Minhang,GISCO OSM,829,1917,2414,Temperate Broadleaf and Mixed Forests,6.152111745,654.5918579,1200.700195,1575.833008,2106.193359,5263800.576,10426901.7,15181466.48,24472119.1,124.3572678,115.1540726,103.7997883,86.06501752,0.39169668800000002,0.34974538399999999,0.35010267900000003,1661.654037,1395.876066,250.3567018,3288.46994,1014.136714,2003.609512,290.1405789,3296.031004,441.00316320000002,2735.545288,131.3383529,3306.875943,0.65871234000000001,0.057434587,36.520000000000003
Quezon City [Manila],Philippines,1,2030,14.55191389,121.0191782,PHL,Philippines,Asia,Quezon City; Manila; Caloocan; Taguig; Antipolo; Pasig; Paranaque; Dasmarinas; Valenzuela; Bacoor; Las Pinas; Makati; San Jose del Monte; Muntinlupa; Calamba; Marikina; Pasay; Imus; Mandaluyong; Malabon; Santa Rosa; Biñan; San Pedro; General Trias; Cabuya,GISCO OSM,738,1373,1776,Tropical and Subtropical Moist Broadleaf Forests,49.12065989,527.8700562,571.6166992,611.3486328,644.3604126,5310035.933,12220121.82,16638130.91,21691140.92,99.409884,46.77667766,36.74382874,29.70615584,0.364465767,0.343484126,0.35375452899999998,871.54126570000005,950.0843996,196.0942989,2011.979566,913.73476400000004,984.6889391,119.2962611,2017.719964,1014.769007,848.7025258,154.2484311,2017.719964,0.20875806999999999,0.184178641,68.260000000000005
Dundee,United Kingdom,1,62,56.47408546,-2.939978337,GBR,United Kingdom,Europe,Dundee,GISCO OSM,60,60,62,Temperate Broadleaf and Mixed Forests,49.03904935,27.21918678,28.01004791,28.66550827,29.53713417,165801.1586,155891.9943,151926.7985,153007.0212,164.1676512,179.6759868,188.6797363,193.0443057,0.379021,0.43131879000000001,0.44473236799999999,18.179040480000001,31.23497161,12.76264828,62.17666037,29.00142803,23.31248979,9.862742552,62.17666037,34.201817419999998,18.04257398,9.932268976,62.17666037,-2.841865984,0.476862812,55.16
Mexico city,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle,United States,1,1885,47.49542197,-122.2998149,USA,United States,Northern America,Seattle; Tacoma; Bellevue; Everett,GISCO OSM,672,1074,1584,Temperate Coniferous Forests,79.68222269,783.8666382,956.9699707,1090.350464,1158.288696,1425531.795,1884503.047,2273822.593,2678205.033,549.876643,507.8102537,479.5231024,432.4869388,0.438531432,0.47962935000000001,0.50835987800000004,1000.160976,721.4210747,163.6670437,1885.249095,1194.900842,550.1743569,140.1738955,1885.249095,1226.31898,498.6921102,160.2380043,1885.249095,0.54320438800000004,0.64468727,65.06
"Milton Keynes, Bedford, Luton",United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calgary,Canada,1,460,51.039687,-114.0703599,CAN,Canada,Northern America,Calgary,GISCO OSM,211,371,418,"Temperate Grasslands, Savannas, and Shrublands",1094.727465,171.1785126,230.6197815,270.0675659,303.4830627,378080.4967,565763.0932,723755.7978,1027226.576,452.7567914,407.6260616,373.1473609,295.4392633,0.35929719799999998,0.38386142400000001,0.38076611900000001,139.73922189999999,313.1264354,7.558154,460.4238113,136.0668953,320.578805,3.778110875,460.4238113,100.681375,340.3517509,19.39068532,460.4238113,0.46032177800000001,0.154942081,34.03
Seoul,South Korea,1,2449,37.47555477,126.9243735,KOR,South Korea,Asia,Seoul; Incheon; Suwon-si; Goyang; Seongnam-si; Bucheon-si; Ansan-si; Namyangju-si; Anyang-si; Uijeongbu-si; Siheung-si; Gimpo-si; Gwangmyeong-si; Gunpo-si; Hanam-si; Yangju-si; Guri-si; Osan; Uiwang; Gwacheon-si,GISCO OSM,1349,1689,2011,Temperate Broadleaf and Mixed Forests,53.82958231,763.1747437,820.0597534,984.888916,1079.291138,13100210.2,17365096.78,19256801.07,21600841.03,58.25667924,47.22460022,51.14499094,49.96523682,0.26108136100000001,0.309416829,0.347323726,646.02674030000003,1326.365888,473.0451739,2423.16275,1021.216505,1235.751169,188.4701278,2445.363149,985.98239179999996,1364.614459,94.84095148,2445.437802,1.2584530819999999,0.113978955,55.93
Buenos Aires,Argentina,1,1967,-34.65058344,-58.53886524,ARG,Argentina,Latin America and the Caribbean,Buenos Aires; Avellaneda; Vicente López; Gregorio de Laferrere; Merlo; José C. Paz; Quilmes; Banfield; Lanús Este; Lanús Oeste; González Catán; Isidro Casanova; Virrey Del Pino; Moreno; Berazategui; San Miguel; Monte Grande; Villa Madero; Santa María; Mor,GISCO OSM,1462,1661,1837,"Temperate Grasslands, Savannas, and Shrublands",19.38118132,987.3631592,1136.82959,1318.606567,1359.4021,8239803.387,10330684.81,11710710.49,13906506.02,119.8284853,110.043972,112.5983405,97.75295807,0.34099935599999998,0.36007462400000001,0.33656155100000001,655.34720679999998,1162.795178,144.3254989,1957.152003,668.80983270000002,1219.595052,74.06299876,1962.467883,541.00356090000002,1267.629893,153.8344295,1958.305363,0.60154325600000003,0.089598082,30.89
Vienna,Austria,1,392,48.19840819,16.38397587,AUT,Austria,Europe,Vienna,GISCO OSM,310,346,377,Temperate Broadleaf and Mixed Forests,193.7116229,180.0501251,225.8574066,239.6826782,247.0032196,1333188.324,1469348.257,1621219.539,1856675.543,135.0522817,153.7126447,147.8409756,133.0352094,0.40351297800000002,0.42876037,0.44252388300000001,176.58130270000001,194.2542369,21.34317906,392.1787187,196.4694265,195.0423719,0.666920188,392.1787187,214.37120619999999,172.4711113,5.336401188,392.1787187,0.38251933399999999,0.377124766,54.69
San Jose,United States,1,1717,37.32711544,-121.9332989,USA,United States,Northern America,San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto,GISCO OSM,1458,1587,1661,"Mediterranean Forests, Woodlands, and Scrub",41.40435654,1144.328857,1237.971802,1288.983154,1307.057861,2653797.944,3770562.836,4362804.672,4604961.31,431.2042144,328.3254664,295.4482841,283.8368823,0.274381031,0.321115869,0.306727058,62.278083799999997,1312.595912,339.3356534,1707.626585,121.7225183,1383.456887,209.0302437,1714.209649,132.84001000000001,1305.285641,276.0839984,1713.386499,0.27164379700000002,0.042396863,23.88
Barcelona,Spain,1,583,41.41556989,2.171428026,ESP,Spain,Europe,Barcelona; l'Hospitalet de Llobregat; Badalona; Terrassa; Sabadell,GISCO OSM,454,507,545,"Mediterranean Forests, Woodlands, and Scrub",100.0452239,274.6308289,276.7593079,296.2411804,308.6734619,2894927.662,3235445.275,3386805.504,3832012.369,94.8662146,85.53978952,87.46920366,80.55126972,0.114139221,0.280020714,0.298962002,0,122.9467173,275.8884133,393.5073812,91.754798809999997,394.6685884,95.16292967,581.5863169,138.9233031,356.5335884,86.12942543,581.5863169,0.64492070999999995,0.046888288,47.05
Milton Keynes,United Kingdom,1,74,52.03519318,-0.768073013,GBR,United Kingdom,Europe,Milton Keynes; Bletchley; Newport Pagnell; Stony Stratford,GISCO OSM,43,65,65,Temperate Broadleaf and Mixed Forests,86.43072087,26.09300423,39.44445801,42.58454132,45.61489105,111253.0226,134228.2821,155415.0567,201467.7206,234.537486,293.861006,274.005249,226.4129009,0.43377547799999999,0.49946450199999998,0.528810734,26.62575,47.01989156,0,73.64564156,54.083723880000001,19.56191768,0,73.64564156,61.38188925,12.26375231,0,73.64564156,0.35790504200000001,0.813312705,82.95
Luton,United Kingdom,1,60,51.89676351,-0.454396779,GBR,United Kingdom,Europe,Luton; Houghton Regis; Dunstable,GISCO OSM,58,59,59,Temperate Broadleaf and Mixed Forests,140.6793166,36.0067749,40.00741577,40.51596832,41.32867813,202601.0831,215050.7588,227359.8889,258189.2551,177.7225193,186.0370826,178.2019182,160.0712552,0.377855369,0.437875611,0.45250078100000002,17.267448720000001,43.06913676,0,60.33658549,31.07223969,29.2643458,0,60.33658549,31.554869700000001,28.78171578,0,60.33658549,0.17772689699999999,0.350691455,52.59
Bedford,United Kingdom,1,30,52.13578937,-0.459769497,GBR,United Kingdom,Europe,Bedford; Kempston,GISCO OSM,28,29,29,Temperate Broadleaf and Mixed Forests,34.87214019,19.37265587,19.85028839,20.29662514,21.10981178,93539.81104,94708.0899,96671.87738,104538.3652,207.1059975,209.5944329,209.9537703,201.9336322,0.40974896900000002,0.46428666600000001,0.4790741,14.25563809,15.90294865,0,30.15858674,21.034417510000001,9.124169228,0,30.15858674,21.03454026,9.124046478,0,30.15858674,0.62295164700000005,0.412448122,70.12
Charlotte,United States,1,325,35.19478888,-80.8479022,USA,United States,Northern America,Charlotte,GISCO OSM,0,0,87,Temperate Broadleaf and Mixed Forests,214.4491653,93.90124512,118.5112839,158.0449219,170.978363,182787.39,226116.8127,247561.7984,370497.0553,513.7183978,524.1153123,638.405937,461.48373,0.44744210600000001,0.50788744299999999,0.52102991499999995,212.4932408,112.5248167,0,325.0180575,261.34525769999999,63.6727998,0,325.0180575,257.77723350000002,67.240824,0,325.0180575,0.74227109999999996,0.829302533,79.319999999999993
Goiania,Brazil,1,467,-16.71153307,-49.28015866,BRA,Brazil,Latin America and the Caribbean,Goiânia; Aparecida de Goiânia,GISCO OSM,169,289,390,"Tropical and subtropical grasslands, savannas, and shrublands",786.0892081,101.1326218,166.9714508,232.4525909,264.1548157,645853.6409,1064537.731,1381671.633,1877864.816,156.5875229,156.8487861,168.2401124,140.667642,0.45393443900000002,0.41281658700000001,0.37390350700000002,303.05977710000002,161.2524504,0,464.3122275,210.4991029,253.8131246,0,464.3122275,181.28705719999999,283.0251703,0,464.3122275,0.80816905500000003,0.124178898,43.44
Munich,Germany,1,349,48.13800202,11.56343509,DEU,Germany,Europe,Munich,GISCO OSM,268,321,335,Temperate Broadleaf and Mixed Forests,528.9339682,182.8356628,196.456665,201.0287781,207.6090851,883145.6294,1097815.297,1307096.927,1573652.443,207.0277616,178.9523844,153.7979119,131.9281687,0.40230893899999998,0.48456170599999998,0.49786671799999999,140.7706957,204.3431426,4.674217313,349.7880556,258.54091879999999,91.24713679,0,349.7880556,251.55279849999999,98.23525708,0,349.7880556,0.153342226,0.503092842,72.08
Sapporo,Japan,1,387,43.07052122,141.3738144,JPN,Japan,Asia,Sapporo; Ebetsu,GISCO OSM,338,376,384,Temperate Broadleaf and Mixed Forests,42.36424009,209.3297577,236.318573,248.1977539,255.2428284,2045372.797,2090083.037,2043386.506,1894557.363,102.3430829,113.0665953,121.4639292,134.7242545,0.30287802600000002,0.32378217999999998,0.32323844800000001,101.4105091,251.5305496,33.13463758,386.0756963,117.45498790000001,255.2029547,13.4177537,386.0756963,127.1918124,227.9435977,30.9402862,386.0756963,-0.78431790199999996,0.123183207,34.049999999999997
Durban,South Africa,1,745,-29.78780375,31.01235218,ZAF,South Africa,Africa,Durban,GISCO OSM,423,615,681,Tropical and Subtropical Moist Broadleaf Forests,136.9081114,183.5591125,268.2978821,314.2931824,329.1243896,1448357.713,2096097.895,2512900.257,2867061.597,126.7360342,127.9987365,125.0718891,114.7950187,0.43931567900000001,0.48838666400000003,0.463293393,455.43389159999998,264.3266132,22.5865996,742.2657545,559.50950609999995,164.2460859,18.59151241,742.2114758,477.00167829999998,241.061084,24.28434214,742.3471044,0.65239861099999996,0.49231579,64.03
Buffalo,United States,1,432,42.9237412,-78.81130882,USA,United States;Canada,Northern America,Buffalo,GISCO OSM,270,356,420,Temperate Broadleaf and Mixed Forests,190.9847795,249.3265076,277.5352173,291.6131592,296.0652161,485708.1461,579114.5673,656160.3012,615835.9218,513.3257689,479.2406079,444.4236548,480.7534045,0.38642922800000001,0.46184460199999999,0.47441557499999998,106.4487098,302.0449673,23.3122485,431.8059256,224.79211749999999,194.2767903,12.73701783,431.8059256,219.0630836,199.6299582,13.11288388,431.8059256,1.0512633330000001,0.455631874,50.71
Brasilia,Brazil,1,60,-15.768422,-47.88150565,BRA,Brazil,Latin America and the Caribbean,Brasília,GISCO OSM,0,13,30,"Tropical and subtropical grasslands, savannas, and shrublands",1051.819986,9.996902466,14.34187031,17.7698307,18.61143875,79674.9602,135881.74,178579.0862,246157.6562,125.4710695,105.5467078,99.50678482,75.60779963,0.35519751300000002,0.40097143299999999,0.41358638800000003,0.12003032199999999,59.42755938,0,59.5475897,1.8949491030000001,57.6526406,0,59.5475897,4.2250828199999999,55.32250689,0,59.5475897,0.43857070500000001,0.227156965,68.98
